unobs_state,flow_true,flow_estimated
25,291,374.85478915024373
13,390,481.9561574788848
17,299,214.20273665728212
12,397,214.20273665728212
4,291,374.85478915024373
9,206,374.85478915024373
23,225,374.85478915024373
22,433,214.20273665728212
8,416,481.9561574788848
30,288,321.3041049859232
6,208,535.5068416432053
34,137,481.9561574788848
21,553,267.7534208216027
36,291,214.20273665728212
26,147,267.7534208216027
33,544,267.7534208216027
2,269,160.6520524929616
32,516,214.20273665728212
14,155,481.9561574788848
35,561,267.7534208216027
7,432,589.0575258075258
11,211,160.6520524929616
37,289,374.85478915024373
28,507,321.3041049859232
24,352,374.85478915024373
29,310,160.6520524929616
27,369,267.7534208216027
